argument,predecessors,successors,predecessors_neighbors,successors_neighbors,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,average_neighbor_degree,pagerank
a53,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a52,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a55,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a54,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a57,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a56,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a59,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a58,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a60,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a62,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a61,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a64,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a63,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a66,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a65,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a68,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a67,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a69,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a0,5,10,328,610,0.15,0.05,0.1,0.38265306122448983,0.00024328242350039441,61.0,0.0035847927463864542
a1,5,9,322,549,0.14,0.05,0.09,0.375,0.00020434231509963553,61.0,0.003505430946973108
a2,3,10,196,610,0.13,0.03,0.1,0.3725165562913907,0.00015751845458478384,61.0,0.0030017772418041416
a3,6,10,391,610,0.16,0.06,0.1,0.38527397260273977,0.0002583413675568361,61.0,0.003812506530959668
a4,2,10,130,610,0.12,0.02,0.1,0.3652597402597403,8.67303810163971e-05,61.0,0.002661273817394302
a5,6,9,389,554,0.15,0.06,0.09,0.3879310344827587,0.00031296981333376857,61.55555555555556,0.003865779435951831
a6,2,9,130,555,0.11,0.02,0.09,0.3629032258064516,0.00013055867156072648,61.666666666666664,0.0027240791278434063
a7,2,8,129,481,0.1,0.02,0.08,0.3629032258064516,6.285744126128632e-05,60.125,0.0026627922656773393
a8,6,9,392,554,0.15,0.06,0.09,0.390625,0.0003770118282030165,61.55555555555556,0.003912812550424512
a9,8,10,518,610,0.18,0.08,0.1,0.39612676056338025,0.0004550301384554011,61.0,0.004480128909286973
a71,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a70,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a73,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a72,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a75,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
a74,49,49,2561,2521,0.98,0.49,0.49,0.556930693069307,0.0005468184451980912,51.44897959183673,0.01562758150654475
